Tipo,Nombre,Valor
CNAME,64gwe7edot46hu2kyudzdhp5tvebak4u._domainkey.massivo.app,64gwe7edot46hu2kyudzdhp5tvebak4u.dkim.amazonses.com
CNAME,mr7s6bo44lnqy4yjex54rfhe6hgcdnrz._domainkey.massivo.app,mr7s6bo44lnqy4yjex54rfhe6hgcdnrz.dkim.amazonses.com
CNAME,smd3ccwwfpgb5jdhso7frpszzx63hzc7._domainkey.massivo.app,smd3ccwwfpgb5jdhso7frpszzx63hzc7.dkim.amazonses.com
